,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1369.0,1773.0,992,1459,1746,2087,0.7390016
1,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1258.5,1755.5,900,1455,1617,2056,0.75409997
2,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1195.0,1706.0,830,1415,1560,1997,0.7492387
3,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1188.5,1662.5,830,1343,1547,1982,0.75792664
4,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1169.5,1609.0,828,1287,1511,1931,0.74602485
5,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1232.5,1536.0,839,1199,1626,1873,0.73068285
6,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1168.5,1435.5,826,1093,1511,1778,0.730419
7,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1224.5,1335.5,891,978,1558,1693,0.7364892
8,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1353.0,1247.5,1007,865,1699,1630,0.7380472
9,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1393.0,1138.0,1026,750,1760,1526,0.781444
10,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1469.5,1015.5,1152,648,1787,1383,0.76332605
11,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1548.0,884.5,1242,504,1854,1265,0.7542047
12,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1639.0,788.0,1317,343,1961,1233,0.77281666
13,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1692.0,658.5,1332,217,2052,1100,0.7575625
14,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1782.5,636.5,1386,183,2179,1090,0.7351588
15,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1847.5,576.0,1417,144,2278,1008,0.76638687
16,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,1957.0,533.5,1581,128,2333,939,0.7794345
17,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2099.5,605.0,1657,184,2542,1026,0.73588866
18,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2264.0,537.5,1828,158,2700,917,0.7580245
19,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2419.0,554.0,1992,148,2846,960,0.7483632
20,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2621.0,506.0,2172,125,3070,887,0.74401414
21,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2646.0,558.0,2187,171,3105,945,0.7096724
22,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2675.5,538.5,2220,145,3131,932,0.7400412
23,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2656.0,498.0,2216,149,3096,847,0.7391066
24,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2684.5,533.5,2237,139,3132,928,0.7169385
25,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2702.0,594.0,2246,126,3158,1062,0.7480704
26,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2705.5,602.5,2240,197,3171,1008,0.72276455
27,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2780.0,611.0,2311,265,3249,957,0.70196813
28,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2873.5,594.0,2434,308,3313,880,0.72914755
29,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2913.0,613.0,2441,330,3385,896,0.7129484
30,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,2972.0,626.5,2533,322,3411,931,0.74798375
31,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,3082.5,765.0,2648,411,3517,1119,0.74117726
32,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,3199.0,772.5,2789,452,3609,1093,0.7515331
33,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,3232.5,950.0,2846,605,3619,1295,0.74554527
34,/Volumes/SmithL0/2026/BIOL470/Final/0408pull/bee_0408_1/final_bee_exp_1_air_cam1_2026-04-08_15-14-17.mp4,3292.0,1044.0,2896,664,3688,1424,0.73851377
